"id","code","name","parent_id/id","type","user_type/id","reconcile"
"l10n_tn.pcg_0","0","Plan Comptable Général","","view","account.data_account_type_view","False"
"l10n_tn.pcg_cla_1_a_5","Classes 1 à 5","Comptes de bilan","l10n_tn.pcg_0","view","account.data_account_type_view","False"
"l10n_tn.pcg_1","Classe 1 ","Comptes de capitaux propres et passifs non courants","l10n_tn.pcg_cla_1_a_5","view","account.data_account_type_view","False"
"l10n_tn.pcg_10","10","Capital","l10n_tn.pcg_1","view","account.data_account_type_view","False"
"l10n_tn.pcg_101","101","Capital social","l10n_tn.pcg_10","view","account.data_account_type_view","False"
"l10n_tn.pcg_1011","1011","Capital souscrit - non appelé","l10n_tn.pcg_101","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_1012","1012","Capital souscrit - appelé non versé","l10n_tn.pcg_101","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_1013","1013","Capital souscrit - appelé versé","l10n_tn.pcg_101","view","account.data_account_type_view","False"
"l10n_tn.pcg_10131","10131","Capital non amorti","l10n_tn.pcg_1013","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_10132","10132","Capital amorti","l10n_tn.pcg_1013","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_1018","1018","Capital souscrit soumis à une réglementation particulière","l10n_tn.pcg_101","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_105","105","Fonds de dotation","l10n_tn.pcg_10","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_108","108","Compte de l'exploitant","l10n_tn.pcg_10","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_109","109","Actionnaires capital souscrit - non appelé","l10n_tn.pcg_10","Regular","account.data_account_type_asset","False"
"l10n_tn.pcg_11","11","Réserves et primes liées au capital","l10n_tn.pcg_1","view","account.data_account_type_view","False"
"l10n_tn.pcg_111","111","Réserve légale","l10n_tn.pcg_11","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_112","112","Réserves statutaires","l10n_tn.pcg_11","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_117","117","Primes liées au capital","l10n_tn.pcg_11","view","account.data_account_type_view","False"
"l10n_tn.pcg_1171","1171","Primes d'émission","l10n_tn.pcg_117","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_1172","1172","Primes de fusion","l10n_tn.pcg_117","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_1173","1173","Primes d'apport","l10n_tn.pcg_117","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_1174","1174","Primes de conversion d'obligation","l10n_tn.pcg_117","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_1178","1178","Autres compléments d'apport","l10n_tn.pcg_117","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_118","118","Autres réserves","l10n_tn.pcg_11","view","account.data_account_type_view","False"
"l10n_tn.pcg_1181","1181","Réserves pour fonds social","l10n_tn.pcg_118","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_119","119","Avoirs des actionnaires","l10n_tn.pcg_11","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_12","12","Résultats reportés","l10n_tn.pcg_1","view","account.data_account_type_view","False"
"l10n_tn.pcg_121","121","Résultats reportés","l10n_tn.pcg_12","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_128","128","Modifications comptables affectant les résultats reportés","l10n_tn.pcg_12","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_13","13","Résultat de l'exercice","l10n_tn.pcg_1","view","account.data_account_type_view","False"
"l10n_tn.pcg_131","131","Résultat bénéficiaire","l10n_tn.pcg_13","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_135","135","Résultat déficitaire","l10n_tn.pcg_13","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_14","14","Autres capitaux propres","l10n_tn.pcg_1","view","account.data_account_type_view","False"
"l10n_tn.pcg_141","141","Titres soumis à des réglementations particulières","l10n_tn.pcg_14","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_142","142","Réserves réglementées & réserves soumises à un régime fiscal particulier","l10n_tn.pcg_14","view","account.data_account_type_view","False"
"l10n_tn.pcg_1421","1421","Réserves indisponibles","l10n_tn.pcg_142","Regular","account.data_account_type_liability","False"
