"id","name","code","parent_id/id","notprintable","sign"
"l10n_tn.tax","Plan de Taxe Tunisie","","","","1"
"BC","Base H.T TVA collectée","BC","l10n_tn.tax","False","1"
"BC12","TVA collectée 12% (Base H.T.)","BC12","BC","False","1"
"BC18","TVA collectée 18% (Base H.T.)","BC18","BC","False","1"
"BC6","TVA collectée 6% (Base H.T.)","BC6","BC","False","1"
"TC","TVA Collectée","TC","l10n_tn.tax","False","1"
"TC12","TVA collectée 12%","TC12","TC","False","1"
"TC18","TVA collectée 18%","TC18","TC","False","1"
"TC6","TVA collectée 6%","TC6","TC","False","1"
"BA","Base H.T. TVA acquittée","BA","l10n_tn.tax","False","1"
"BA12","TVA acquittée 12% (Base H.T.)","BA12","BA","False","1"
"BA18","TVA acquittée 18% (Base H.T.)","BA18","BA","False","1"
"BA6","TVA acquittée 6% (Base H.T.)","BA6","BA","False","1"
"TA","TVA acquittée","TA","l10n_tn.tax","False","1"
"TA12","TVA acquittée 12%","TA12","TA","False","1"
"TA18","TVA acquittée 18%","TA18","TA","False","1"
"TA6","TVA acquittée 6%","TA6","TA","False","1"
"TAI","TVA acquittée pour immobilisations","TAI","l10n_tn.tax","False","1"
"TAI12","TVA acquittée sur immobilisation 12%","TAI12","TAI","False","1"
"TAI18","TVA acquittée sur immobilisation 18%","TAI18","TAI","False","1"
"TAI6","TVA acquittée sur immobilisation 6%","TAI6","TAI","False","1"
"BAI","Base H.T. TVA acquittée pour immobilisations","BAI","l10n_tn.tax","False","1"
"BAI12","TVA acquittée sur immobilisation 12% (Base H.T.)","BAI12","BAI","False","1"
"BAI18","TVA acquittée sur immobilisation 18% (Base H.T.)","BAI18","BAI","False","1"
"BAI6","TVA acquittée sur immobilisation 6% (Base H.T.)","BAI6","BAI","False","1"
"BONI","Base H.T. Opérations non imposables","BONI","l10n_tn.tax","False","1"
"EXP","Exportations TVA 0% (Base H.T.)","EXP","BONI","False","1"
"AONI","Opérations non imposables TVA 0% (Base H.T.)","AONI","BONI","False","1"
"BAEX","Achats exonérée TVA 0% (Base H.T.)","BAEX","BONI","False","1"
